X	Cy	StationName	StreamURL
	D	0N 70s	0n-80s.radionetz.de:8000/0n-70s.mp3
*	D	0N 80s	0n-80s.radionetz.de:8000/0n-80s.mp3 
*	D	0N 90s	0n-90s.radionetz.de:8000/0n-90s.mp3
*	D	0N Charts	0n-charts.radionetz.de:8000/0n-charts.mp3
	D	0N Dance	0n-dance.radionetz.de:8000/0n-dance.mp3
	D	0N Disco	0n-disco.radionetz.de:8000/0n-disco.mp3
	D	1000 Oldies	c3.auracast.net:8010/stream
*	D	Eurodance	www.laut.fm/eurodance
	D	extra-radio 88.0	radionetz.de:8000/extra-radio.mp3
	D	Hitradio SKW	http://server4.streamserver24.com:2199/tunein/hitradio.asx
	D	MacSlon's Irish Pub Radio	macslons-irish-pub-radio.stream.laut.fm/macslons-irish-pub-radio
	D	SchottenRadio	rs13.stream24.org:8700
	GR	Ράδιο Ήλιος	195.154.217.103:8051/;stream/1
	RU	НАШЕ Радио	nashe1.hostingradio.ru/nashe-128.mp3
	RU	Радио Русские Песни	listen.rusongs.ru/ru-mp3-128
	BG	Свежа България	http://31.13.223.148:8000/fresh.mp3
	CH	SWISS POP	https://stream.srg-ssr.ch/rsp/aacp_48.asx

